Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,2004,8,dados_pluviometricos_2004.zip,alto_da_boa_vista_200408_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,8,dados_meteorologicos_2004.zip,alto_da_boa_vista_200408_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,9,dados_pluviometricos_2004.zip,alto_da_boa_vista_200409_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,9,dados_meteorologicos_2004.zip,alto_da_boa_vista_200409_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,10,dados_pluviometricos_2004.zip,alto_da_boa_vista_200410_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,10,dados_meteorologicos_2004.zip,alto_da_boa_vista_200410_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,11,dados_pluviometricos_2004.zip,alto_da_boa_vista_200411_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,11,dados_meteorologicos_2004.zip,alto_da_boa_vista_200411_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2004,12,dados_pluviometricos_2004.zip,alto_da_boa_vista_200412_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2004,12,dados_meteorologicos_2004.zip,alto_da_boa_vista_200412_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2005,1,dados_pluviometricos_2005.zip,alto_da_boa_vista_200501_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2005,1,dados_meteorologicos_2005.zip,alto_da_boa_vista_200501_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2005,2,dados_pluviometricos_2005.zip,alto_da_boa_vista_200502_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2005,2,dados_meteorologicos_2005.zip,alto_da_boa_vista_200502_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2005,3,dados_pluviometricos_2005.zip,alto_da_boa_vista_200503_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2005,3,dados_meteorologicos_2005.zip,alto_da_boa_vista_200503_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2005,4,dados_pluviometricos_2005.zip,alto_da_boa_vista_200504_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2005,4,dados_meteorologicos_2005.zip,alto_da_boa_vista_200504_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2005,5,dados_pluviometricos_2005.zip,alto_da_boa_vista_200505_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2005,5,dados_meteorologicos_2005.zip,alto_da_boa_vista_200505_Met.txt,299,SUCESSO,,
